date,crop,price
2023-01-01,Wheat,250
2023-01-01,Rice,300
2023-01-01,Maize,200
2023-02-01,Wheat,260
2023-02-01,Rice,310
2023-02-01,Maize,210
2023-03-01,Wheat,255
2023-03-01,Rice,305
2023-03-01,Maize,205
2023-04-01,Wheat,270
2023-04-01,Rice,320
2023-04-01,Maize,220
2023-05-01,Wheat,280
2023-05-01,Rice,330
2023-05-01,Maize,230
2023-06-01,Wheat,275
2023-06-01,Rice,325
2023-06-01,Maize,225
2023-07-01,Wheat,285
2023-07-01,Rice,335
2023-07-01,Maize,235
2023-08-01,Wheat,290
2023-08-01,Rice,340
2023-08-01,Maize,240
2023-09-01,Wheat,280
2023-09-01,Rice,330
2023-09-01,Maize,230
2023-10-01,Wheat,270
2023-10-01,Rice,320
2023-10-01,Maize,220
2023-11-01,Wheat,265
2023-11-01,Rice,315
2023-11-01,Maize,215
2023-12-01,Wheat,260
2023-12-01,Rice,310
2023-12-01,Maize,210
